Year,Restaurant,Full Address,Lat,Lon,Total Buckets,Shell Only Weight
2024,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,156,2847.97
2025,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,206,3313.38
2021,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2022,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2023,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2024,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,22,326.07
2021,Farmer's Market,,,,0,0
2022,Farmer's Market,,,,0,0
2023,Farmer's Market,,,,8,193
2024,Farmer's Market,,,,0,0
2025,Gloucester Shell-abration,,,,3,67.91
2021,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,0,0
2022,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,53,1091.15
2023,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,97,2009.11
2024,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,0,0
2021, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,0,0
2022, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,21,160.83
2023, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,66,878.46
2024, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,19,207
2025,Lighthouse Inn,"1 Lighthouse Inn Rd,  West Dennis, MA 02670",41.6517888,-70.1693557,2,28.51
2021,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,0,0
2022,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,0,0
2023,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,204,4236.74
2024,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,179,3235.07
2025,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,253,4364
2021,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,0,0
2022,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,0,0
2023,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,100,2437.03
2025,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,138,2641
2024,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,85,1927.03
2021,Mac's Chatham Fish & Lobster,"1291 Main Street Route,  MA-28, Chatham",41.6840591,-69.9818793,0,0
2022,Mac's Chatham Fish & Lobster,"1291 Main Street Route,  MA-28, Chatham",41.6840591,-69.9818793,116,2180.22
2023,Mac's Chatham Fish & Lobster,"1291 Main Street Route,  MA-28, Chatham",41.6840591,-69.9818793,167,2627.26
2025,Mac's Chatham Fish & Lobster,"1291 Main Street Route,  MA-28, Chatham",41.6840591,-69.9818793,135,2194.88
2024,Mac's Chatham Fish & Lobster,"1291 Main Street Route,  MA-28, Chatham",41.6840591,-69.9818793,191,3624.67
2021,Mac's Shack,"91 Commercial St,  Wellfleet, MA 02667",41.9348564,-70.0298767,313,6284
2022,Mac's Shack,"91 Commercial St,  Wellfleet, MA 02667",41.9348564,-70.0298767,237,5155.27
2023,Mac's Shack,"91 Commercial St,  Wellfleet, MA 02667",41.9348564,-70.0298767,276,5914.2
2024,Mac's Shack,"91 Commercial St,  Wellfleet, MA 02667",41.9348564,-70.0298767,298,6718.55
2025,Mac's Shack,"91 Commercial St,  Wellfleet, MA 02667",41.9348564,-70.0298767,345,8595
2021,Mac's On the Pier,"265 Commercial St,  Wellfleet, MA 02667",41.929616,-70.030383,0,0
2022,Mac's On the Pier,"265 Commercial St,  Wellfleet, MA 02667",41.929616,-70.030383,0,0
2023,Mac's On the Pier,"265 Commercial St,  Wellfleet, MA 02667",41.929616,-70.030383,0,0
2025,Mac's On the Pier,"265 Commercial St,  Wellfleet, MA 02667",41.929616,-70.030383,67,1511
2024,Mac's On the Pier,"265 Commercial St,  Wellfleet, MA 02667",41.929616,-70.030383,71,1138.4
2021,Moby Dick's Restaurant,"3225 US-6,  Wellfleet, MA 02667",41.9477383,-70.0333785,117,2296
2022,Moby Dick's Restaurant,"3225 US-6,  Wellfleet, MA 02667",41.9477383,-70.0333785,149,2122.96
2023,Moby Dick's Restaurant,"3225 US-6,  Wellfleet, MA 02667",41.9477383,-70.0333785,135,2006.91
2024,Moby Dick's Restaurant,"3225 US-6,  Wellfleet, MA 02667",41.9477383,-70.0333785,118,2137.15
2025,Moby Dick's Restaurant,"3225 US-6,  Wellfleet, MA 02667",41.9477383,-70.0333785,104,1849
2025,Newburyport Oyster Fest,,,,11,222.84
2021,Pearl Wellfleet,"250 Commercial St,  Wellfleet, MA 02667",41.93055,-70.0300694,344,7350
2022,Pearl Wellfleet,"250 Commercial St,  Wellfleet, MA 02667",41.93055,-70.0300694,143,2950.92
2023,Pearl Wellfleet,"250 Commercial St,  Wellfleet, MA 02667",41.93055,-70.0300694,315,6646.84
2024,Pearl Wellfleet,"250 Commercial St,  Wellfleet, MA 02667",41.93055,-70.0300694,518,11770.65
2025,Pearl Wellfleet,"250 Commercial St,  Wellfleet, MA 02667",41.93055,-70.0300694,458,11317
2021,The Squealing Pig,"335 Commercial St,  Provincetown, MA 02657",42.052385,-70.1848598,0,0
2022,The Squealing Pig,"335 Commercial St,  Provincetown, MA 02657",42.052385,-70.1848598,0,0
2023,The Squealing Pig,"335 Commercial St,  Provincetown, MA 02657",42.052385,-70.1848598,123,2122.14
2024,The Squealing Pig,"335 Commercial St,  Provincetown, MA 02657",42.052385,-70.1848598,0,0
2021,The Rail Orleans,"222 Main Street, Orleans, MA, 02653",41.7850058,-69.9652464,0,0
2022,The Rail Orleans,"222 Main Street, Orleans, MA, 02653",41.7850058,-69.9652464,55,903.53
2023,The Rail Orleans,"222 Main Street, Orleans, MA, 02653",41.7850058,-69.9652464,0,0
2024,The Rail Orleans,"222 Main Street, Orleans, MA, 02653",41.7850058,-69.9652464,0,0
2025,Van Rensselaer's Restaurant and Raw Bar,"1019 US-6,  South Wellfleet, MA 02663",41.905133,-69.9854151,132,2807
2021,Van Rensselaer's Restaurant and Raw Bar,"1019 US-6,  South Wellfleet, MA 02663",41.905133,-69.9854151,124,2164
2022,Van Rensselaer's Restaurant and Raw Bar,"1019 US-6,  South Wellfleet, MA 02663",41.905133,-69.9854151,152,2231.66
