Year,Week #,Date,Day of Week,Restaurant Name,Total Buckets,Total Weight (lbs),Shell Only Weight,Gallons Water Used,$ Saved from Waste,Tax Credit $
2025,12,8/4/25,Monday,Captain Parker's,1,21.09,18.09,,,
2025,12,8/8/25,Friday,Elwood's,9,182.32,155.32,,,
2025,12,8/8/25,Friday,Del Mar,3,68.82,59.82,,,
2025,12,8/8/25,Friday,Mac's,4,67.98,55.98,,,
2025,12,8/8/25,Friday,Captain Parker's,1,22.88,19.88,,,
2025,13,8/11/25,Monday,Elwood's,13,262.37,223.37,,,
2025,13,8/11/25,Monday,Del Mar,2,38.62,32.62,,,
2025,13,8/11/25,Monday,Mac's,2,32.68,26.68,,,
2025,13,8/11/25,Monday,Captain Parker's,2,40.55,34.55,,,
2025,13,8/15/25,Friday,Elwood's,7,138.33,117.33,,,
2025,13,8/15/25,Friday,Del Mar,3,58.98,49.98,,,
2025,13,8/15/25,Friday,Mac's,5,104.5,89.5,,,
2025,13,8/15/25,Friday,Captain Parker's,1,15.73,12.73,,,
2025,14,8/18/25,Monday,Elwood's,10,184.28,154.28,,,
2025,14,8/18/25,Monday,Del Mar,1,16.45,13.45,,,
2025,14,8/18/25,Monday,Mac's,5,111.31,96.31,,,
2025,14,8/18/25,Monday,Captain Parker's,2,34.72,28.72,,,
2025,14,8/21/25,Thursday,Elwood's,5,98.66,83.66,,,
2025,14,8/21/25,Thursday,Del Mar,2,29.6,23.6,,,
2025,14,8/21/25,Thursday,Mac's,2,44.7,38.7,,,
2025,14,8/21/25,Thursday,Captain Parker's,1,19.18,16.18,,,
